title,release_date,album,n-words,lyrics
Exposed (Voyce Diss) by Drake,2006-01-01 00:00:00,(No Album),3,"19 ContributorsExposed (Voyce Diss) Lyrics[Intro]
Damn V-O, sounds like you got a lot of niggas mad at you bruh. Guess that's what happens when uh, you a R&B Diva tryna live a rapper's life. You know what I'm saying. But um, if you really want it with me man I got you, I'mma show you what it is to get exposed, I hope I'm on key, hahaha

[Bridge]
The V-O-Y I'm talking to you
And both them record deals that ain't never go through
OK Voyce, we know you was a snitch
But you don't get your boys back like that
Still need a ride, you ain't gettin paid
And Taj got you at them shoots wearing pink shades
OK Voyce, always knew you a bitch
But I ain't know you got down like that

[Verse 1]
I hear you issuing threats, you need to kill the jive talk
Furthest thing from street bruh, that's why I call you sidewalk
We here waiting, if you stupid then try it
How you gon' knock me out lookin' like Snoop on a diet?
Uh, listen slim fast, we all know that
The only time that you raisin' up the shooters is in the gym class
This ain't dooms day, this today and after
This a diss track from your sister's favorite rapper

[Interlude]
Oh man... Yo V-O man let's reminisce for a second man, we been through a lot of shit man. Like um, you remember when, you remember when you used to kick it at Jazzy's studio yo? And you used to make fun of Rahmel and say that he looked so old that if you punched him in the face, his head might turn to dust yo. I remember that, and you used to make of Diggs too man and now you like, standing side by side with him cuttin' records, I think that shit funny man. Ayo Boi-1da you remember the time he told us about um, knockin' some dude out back in uh, what was it college, university man, but really, he got his ass laid out and had to call D10 to come fix him up [laughs]. Oh man. let's get back into the track
You might also like[Verse 2]
Ho, I hope this ego trip you on won't last honey
Cause everyone you get around got you gas money
And where the cash at? Nigga speakin' of gas money
We all had to give you lifts, isn't that funny?
It's real talk, you know better I don't play that
He tell you I'mma liar, I figured that he would say that
But this the same nigga that be talkin' about a Maybach
And can't make a move from his momma house in Ajax

[Interlude]
Dawg, I mean, you just shit on everybody, b. And that's ya problem man, I'm about loyalty man. I mean, I remember when you told me that D10 better pull his act together or else he gon' be babysittin' ya kids man, damn! You done shit on Sho, Me, Symphony, Andreena, Carmen, Lanny, Jazzy, Promise. Man, you done made fun of everybody over at Maxamus Melanie, Taj, Rahmel, Diggs. You said you was gonna knock ex out. You even made fun of Boi-1da when I wasn't around. I mean dog, you, you just a unloyal cat man (It's what it is) and this the commitment right here, Heartfelt music, ho! Ya man Toronto I got you for the next two summers don't even worry man. Yeah, shout out to everybody I know, everybody that's down with me that know that they down with me man. Precise waddup, Jason Johnson waddup, Niko waddup, Janyelle I see you baby and I know you seeing Niko, hahah

[SPINZ VOICEMAIL MESSAGE]2Embed"
Drake's Voice Mail Box #1 by Drake,2006-02-14 00:00:00,Room for Improvement,3,"13 ContributorsDrake’s Voice Mail Box #1 Lyrics[Message 1]
Jermaine [?] from [?]. The man, Drake, puts it the fuck down. He’s doing his thing. He’s got the hottest mixtape on the streets. It’s early, it’s nasty. He’s putting it the fuck down, you know what I’m sayin'? Listen to that shit. Do your thing, aiiight?

[Message 2]
Yo, yo, yo. This is your boy, Christopher [?], that’s right, [?], chilling with my main man, Drake. On the off-the-hook from this tape. You know how we get down. That’s how we do it, the real house party, baby. Let’s go, let’s go, let’s go!

[Message 3]
Yo, nigga. What’s up? This is Glenn Lewis, man. Had to holla at my boy, Drake: the incomparable, illustrious, lyrical genius hailing from the one and only Toronto, Up-North. Throwed niggas pay attention, how my nigga get down. Drake, let ‘em have it man. ‘06, you know how we doing it this year. We doing it big, man. We 'bout to set this whole country on fire, 'bout to put this place on the map. Let’s get itYou might also likeEmbed"
Do What You Do by Drake,2006-02-14 00:00:00,Room for Improvement,20,"25 ContributorsDo What You Do Lyrics[Chorus]
Stance on lean, leg up on the wall
My niggas chill, why you niggas wanna ball
I'm satisfied with a little, why you niggas want it all
You waiting for the spring, and I'm gettin' it in the fall
But uh, do what you do what you, I do what I do
Do's what you do, I do what I do

[Verse 1]
Getting down tonight if they say you cuttin'
A lot of dudes in my city, they ain't saying nothin'
A lot of records from here, they get no play
And these labels don't give advances so you get no pay
Them little rims on the ride, Imma let those stay
So these nosy niggas don't know that I get checks all day
'Whats he worth?' Fans keep trying to guess it
My record ain't even finish, they keep trying to press it
Boi-1da and Drake if it's beef I address it
And the black Phantom is here soon as Visalia exit
Both of the deals, nothin' under a mill
We know you got it to give and we trying to collect it
Long as I got me some heat through the winter
Drake known as a pro, I'ma teach you beginners
'Bout to ink with a major like sheets through a printer
For features, y'all better get me while it's cheaper than dinner
'Cause me and 1da trying to get at your girl
If you see her tell this nigga got some beats Imma send her
You might also like[Chorus]
Stance on lean, leg up on the wall
My niggas chill, why you niggas wanna ball
I'm satisfied with a little, why you niggas want it all
You waiting for the spring, and I'm gettin' it in the fall
But uh, do what you do what you, I do what I do
Do's what you do, I do what I do
Stance on lean, leg up on the wall
My niggas chill, why you niggas wanna ball
I'm satisfied with a little, why you niggas want it all
You waiting for the spring, and I'm gettin' it in the fall
But uh, do what you do what you, I do what I do
Do's what you do, I do what I do

[Verse 2]
Check, the verses I'm writin', you might wanna learn it
You hatin' my song but your wife wanna burn it
So now you at the store for some blank CDs
You can't see me, for your sake, might wanna return it
'Cause, if you bring them discs home to ya girl
She'll forget you and I'll be the only one she concerned with
To the people that ignored me before this
This one is for you as a song re-recorded
Funny thing is, you just notice me now
But I was here along, your vision's just been distorted
I'm so throwed, wilin' in this, you ask me what the business is
And I'll write a sixteen and record it
The waiting is over I think music needed
Drake cuttin' his records without gettin' weeded
People in the South want it chopped and screwed
I got this dude they expectations I'ma exceed it
Like a single with only backgrounds
Y'all record and when it's done, ya lyrics tend to mislead shit
Finally here I'ma star with the timin'
My swagger is chill, and my flow is reclinin'
This for anybody that's searchin' for cash
And purchasin' fast, you only get the dough when you grindin'
And so I grind like I'm listening to I Wayne
My pain, you can experience through the rhymin', boy
[Chorus]
Stance on lean, leg up on the wall
My niggas chill, why you niggas wanna ball
I'm satisfied with a little, why you niggas want it all
You waiting for the spring, and I'm gettin' it in the fall
But uh, do what you do what you, I do what I do
Do's what you do, I do what I do
Stance on lean, leg up on the wall
My niggas chill, why you niggas wanna ball
I'm satisfied with a little, why you niggas want it all
You waiting for the spring, and I'm gettin' it in the fall
But uh, do what you do what you, I do what I do
Do's what you do, I do what I do

[Bridge]
Two years ago, a friend of mine
Asked me to kick some new school lines
And so I sent him a rhyme, it was fresh to death
Now not signing me is somethin' that the rest regret
Then I, hopped inside the Cadillac
The chauffeur drove off and we never came back

[Chorus]
Stance on lean, leg up on the wall
My niggas chill, why you niggas wanna ball
I'm satisfied with a little, why you niggas want it all
You waiting for the spring, and I'm gettin' it in the fall
But uh, do what you do what you, I do what I do
Do's what you do, I do what I do1Embed"
S.T.R.E.S.S. by Drake (Ft. Nickelus F),2006-02-14 00:00:00,Room for Improvement,4,"25 ContributorsS.T.R.E.S.S. Lyrics[Intro: Drake]
Yeah, Ren, M.O.F, Haha
It's Drake man, it's Drake man.Yeah
Ayo Ren this that gritty shit here man
I'ma have to tell them about I been through on this know what I mean
HO! Southern Smoke!!!

[Verse 1: Drake]
Very few give you that truth, it's either they can't do it with lyrics
Or can't do it in spirit, they cancel what they doin'
The samples that they usin', can't get through the clearin'
I'll handle it since they just can't get you to hear it
My father's early careerin' forced my parents to split up
My mother was a teacher, my father was kind of fed up
With just being a florist, so the choir sang his chorus
And he got back into doin' what he was doing before us
Because money is an issue, your son, he gon' miss you
And plus you got a wife at home cause mommy still exist too
Now you lookin' for exes, you ain't never expect this
You end up doing time, and me, I end up with a step-sis
Nobody passing judgment, they question where the drugs went
You know I hold you down because without you, I'd be a wasn't
And mommy I'mma support her, I keep it all in order
See her with tears in her eyes or you arrested at the border
But
You might also like[Hook: Nickelus F]
I got stress on my shoulders
Trying to keep my heart pure but this world is makin' it colder
Young black man dodge your bullets trying to get older
And you wonder why we turn to drugs and chain smokers
IT'S STRESS MY NIGGA!!!
I'm just tryna live my life cuz
Make a little money, find a bunny
To make my wife cuz BO!, BO!, BO!, BO!
I'm just trying to live my life cuz
Make a little money, find a bunny
To make my wife cuz BO!, BO!, BO!, BO!

[Verse 2: Drake]
This is my life, and so the rest has kinda been cool
Question what I been through
I write a verse addressin' it
And yes I might offend you
Picture when I was in school
Me being the closest thing to black
And guess what rap music what I was into
Rest of the kids were sheltered
I never liked to fight
But when someone called me a ""nigga""
I'd punch em I couldn't help it
Now I'm grown I can say what it is
It's parents that got these Black and Filipino nannies raisin' they kids
And your daddy want it very right
I make you happy, plus I'm Jewish, he don't approve
I think he want you to marry white
He want Sinatra at the wedding, not Barry White
Cause black is black honey, even if he's very light
And so I never been for dinner at they places
Always brutally honest, and so I pin it to they faces
I live it so the case is, whether Drake is
Way ahead of his time, or inquisitive and racist
[Hook: Nickelus F]
I got stress on my shoulders
Trying to keep my heart pure but this world is makin' it colder
Young black man dodge your bullets trying to get older
And you wonder why we turn to drugs and chain smokers
IT'S STRESS MY N*!!!
I'm just tryna live my life cuz
Make a little money, find a bunny
To make my wife cuz BO!, BO!, BO!, BO!
I'm just trying to live my life cuz
Make a little money, find a bunny
To make my wife cuz BO!, BO!, BO!, BO!

[Verse 3: Drake]
Am I hot as the rest? should I strive for my spot as the best?
Like girls with Double D's, I got a lot on my chest
There's questions that need to be answered that's not on the test
Instead of starin' at quizzes now it's models with breasts
And yes, when I'm dismissed after a tedious listen
I sit at home and say I should of been a pediatrician
Homie, I probably could've been on TV consistent
An artist like Pablo, maybe Petey's assistant
And my mindset is come and get me
I'm all alone at home with my mom and grandma and ain't nobody runnin' with me
So, if you got the heart to come in here and kill a lady
Daughter, and her grandson, nigga get the handgun
If not, you gon make me call the burbs out in Richmond
That have you niggas laying out on the curb, they some hitmen
Last couple of months I done probably been around the world and back
And I don't wanna question half the places Nick been
[Hook: Nickelus F]5Embed"
Bad Meaning Good by Drake (Ft. Slakah the Beatchild),2006-02-14 00:00:00,Room for Improvement,1,"26 ContributorsBad Meaning Good Lyrics[Verse 1: Slakah]
Lady, you say I stay in the house til four
We don't even go out no more
Its always the same eh
Always complainin, it's obvious baby
I guess you don't watch the news
You see theres a lot to lose
Cuz we got a baby and people are shady

[Bridge: Drake]
My generation is changin
Aside from the fact
The dealers have customers they provide with the crack
Front of the buses taken
And we deny it from the back
You can die where you from, or die where you at

[Chorus: Drake]
Don't put it past them
I don't think that they understood
My friends they ain't even sit in the class when they should
He can come pick you up
If your dads in the hood
Not bad meaning bad, but bad meaning good good good

[Verse 2: Slakah]
Lady, somebody shot up the place right by
Where I work and I think they might
Be coming for me next, klend me ya Kleenex
I'm tellin you baby
I think I'm a bout to cry
Still gotta go out tonight
Cuz I gotta feed you, I hope that I see you again
A-a-again
Hope that I see you, see you
You might also like[Chorus: Drake]
(Southern Smoke)
Don't put it past them
I don't think that they understood
My friends they ain't even sit in the class when they should
He can come pick you up
If your dads in the hood
Not bad meaning bad, but bad meaning good good good

[Verse 3: Drake]
Lately I don't know about the friends that I hang with
I'm nervous round my boys, it depends on their anguish
Depends on if they saving all the tops on Pepsi
With dreams of seeing girls topless on jet skis
Depends on what they do to achieve that
Robbing r&b singers, 'specially if they know where the keys at
Specially if they know where they girl live
Get the info, leave with ya money man, thats how the world is
Thats how niggas puttin' they dirt down
Streets are seedy, I call em sesame
It's Ernie and Bert's town
'specially when these youngins get turned down for work opportunities
Next week same place'll get burnt down
Coincidink? not likely not a chance
How can we be so aware of these problems and not advance?
At least start put a bid in, its hard just to fit in
A lot of people only play they part when they spittin
But I don't think that they understood
They using this darkness for penetration in the hood
I took the ivory way in and yes I'm glad that keenan could
Not bad meaning bad, but bad meaning good good good
[Outro]
Uh
Not bad meaning bad, but bad meaning good
Not bad meaning bad, but bad meaning good good good2Embed"
About the Game by Drake (Ft. Trey Songz),2006-02-14 00:00:00,Room for Improvement,1,"19 ContributorsAbout the Game Lyrics[Intro: Drake]
Ho, yeah, uh huh
It's Trey Songz and uh, D-R-A-K-K-E
Ahahaha, the boys of summer are here man
Ayo Trey, I got something mean for this one boy

[Verse 1: Drake]
Chances are most of the days you was lying around
I made money thats why these girls eyeing me down
By nineteen I might seem destined for millions
Promoters on my ass so I'm guessing they filled in
I take cues from my big boy Popz
I'm the only young dude that the big boys watch
They getting foul on the star
But it's all eyes on me like I'm copying some vows for the bar
Get it?
Guess not
Picture me not strive
To land in the top ten slip in the top five
Same thing in the top four trust I'm hot boy
Maybe even the top three Trey you got me?
Nowadays I peak they interests
Especially when life's bringing them pain and lately they been stressed
Money making brothers should take notes
See broke niggas is the problem and us is the scape goat
Somebody get the waiter
They need a second plate a this knowledge
If you ain't got it you could catch it later
My money and love is separate before I commit to date her
I put a split in the middle and learn to separate her
You might also like[Chorus: Trey Songz]
It ain't about the rims on my truck
Ain't about the ice on my watch
Ain't about the coupe or my truck
Baby it's about the game

[Verse 2: Trey Songz]
Ridin' low
Layed back in the seat when I creep
That's just how I roll
With some fresh nice ones on my feet
Girl that's how it goes
And I'm tryin' to find a chick I can meet who ain't 'bout the dough
Cause it ain't all about that no more

[Chorus: Trey Songz]
It ain't about the rims on my truck (No)
Ain't about the ice on my watch (No)
Ain't about the coupe or my truck
Baby it's about the game (It's about the game)
It ain't about the rims on my truck
Ain't about the ice on my watch (No)
Ain't about the coupe or my truck
Baby it's about the game (Bout the game, uh)

[Verse 3: Trey Songz]
When you ask why I hustle in the streets that's just who I be
Yo, I live for the dough, for the flow, for feelin' free
Ain't too many other dudes you can choose to get this luxury
But without it all I'm still about the game
[Bridge: Trey Songz]
The haters wanna hate, but it ain't no thing no
Because the ladies choose to love me (cause they love me for what I do)

[Chorus: Trey Songz]
It ain't about the rims on my truck
Ain't about the ice on my watch
Ain't about the coupe or my truck
Baby it's about the game
It ain't about the shoes that I've got
Ain't about my dough or my rocks
Ain't the life I live, it don't stop
Baby it's about the game
It ain't about the rims on my truck
Ain't about the ice on my watch
Ain't about the coupe or my truck
Baby it's about the game
It ain't about the shoes that I've got
Ain't about my dough or my rocks
Ain't the life I live, it don't stop
Baby it's about the game

[Verse 2: Trey Songz]
Ridin' low
Layed back in the seat when I creep
That's just how I roll
With some fresh nice ones on my feet
Girl that's how it goes
And I'm tryin' to find a chick I can meet who ain't 'bout the dough
Cause it ain't all about that no more
[Bridge: Trey Songz]
The haters wanna hate, but it ain't no thing no
Because the ladies choose to love me (cause they love me for what I do)

[Chorus: Trey Songz & Drake]
It ain't about the rims on my truck
Ain't about the ice on my watch
Ain't about the coupe or my truck
Baby it's about the game
It ain't about the shoes that I've got
Ain't about my dough or my rocks
Ain't the life I live, it don't stop
Baby it's about the game
It ain't about the rims on my truck
Ain't about the ice on my watch
Ain't about the coupe or my truck
Baby it's about the game
It ain't about the shoes that I've got
Ain't about my dough or my rocks
Ain't the life I live, it don't stop
Baby it's about the game (Southern smoke)6Embed"
AM 2 PM by Drake (Ft. Nickelus F),2006-02-14 00:00:00,Room for Improvement,5,"40 ContributorsAM 2 PM Lyrics[Verse 1: Nickelus F]
Yo I wake up every morning, shower, gather my belongings
Head to works, I get some breakfast cause, still a nigga yawning
From the night before, at the club, I was up I'm tryna live
Only twenty two, my nig, 'bout to be twenty three, ya dig?
Time don't wait for none of us that's why I gotta chase my dreams
Make my momma proud so she can show off all her pearly teeth
And be half the man my dad was, I thank God he was in my life
I realize how many leave they wives so deep inside
Either I, need to make this music work or move from the Earth
I'm preachin' fire, need a choir, 'bout to take you all to church
My congregation bombed the nation with this hip hop
We in the race to fame, blowin' pass the pit stops
I heard the prize was some chicks and a wrist watch
And all you gotta do is go to jail or get shot
Yeah Nick cop but he ain't never get popped
How we gonna get pop fans? Give 'em a quick shot
Now I get ya chick hot with my wrist watch
Yeah shorty drip drop when it tick tock
It's kinda sick huh? Ay Jay, put an end to all the bickerin'
And tell them niggas this is Nick's spot
They don't keep it fresh enough I got it zip locked
Saran wrap, anthrax, it make ya sick huh?
I'm hot as fire wanna put me out with piss huh?
Reached to do it and realized his dick stuck
You might also like[Chorus: Drake]
It ain't as easy as it looks, we go through some shit
You cut us a check, then we go through some hits
Then you show us respect, then we'll say you legit
And this is the life that I lead from AM to PM
I'm trynna get that cash, then watch how tall it grows
Soon as we get the ass, we start callin' 'em ho's
The concept you don't grasp, I'm guessin' you too old
And this is the life that I lead from AM to PM

[Verse 2: Drake]
Ayo I stay up every evening, write that shit that they believe in
DJs run it, they approach me, and it's praise I be receiving
From the night befo', at the club, fake I.D. my record spins
Got me dancin' right outside since these niggas won't let me in
Well guess again, slip around the back and get it crackin'
And all the bottles wrapped in cellophane and party where the best have been
Hundred grand, Nickle F, that nigga's the next to win
Virgina gon' rep for him, and Memphis represent for me
To the tenth degree, Tennekey, T-Dot to the country y'all
Orange Mound and Whitehaven, and back up north to Montreal
I ain't ashamed, my city ain't on the map
People get to thinking they really light that fire, realize they ain't born to rap
So they give it pass the torch and sell they soul for enough to throw cash in storage
Maybe they can bring they career back
But these niggas right here ain't trynna hear that
Cause I'm on set, make it work, break even on 9 to 5's
Cigarettes and lotto tickets, tryna keep that grind alive
All my uncles, they hit the casino when they get they check
My cousins, they paint they slabs and pop pistols to get respect
This can't be life, dominoes and chief and dro and twenty stacks
Single mothers phonin' cheaters just to get they honeys back
Purple drink and trips to Kroger's just to get they money stacked
Rest In Peace to SKUMMY this reality not funny rap!
You think it's funny till these youngings suck a bunny
Pull the jackrabbit out and get to screamin' where the money at?!
[Chorus: Drake]
It ain't as easy as it looks, we go through some shit
You cut us a check, then we go through some hits
Then you show us respect, then we'll say you legit
And this is the life that I lead from AM to PM
I'm trynna get that cash, then watch how tall it grows
Soon as we get the ass, we start callin' 'em ho's
The concept you don't grasp, I'm guessin' you too old
And this is the life that I lead from AM to PM11Embed"
A Scorpio's Mind by Drake (Ft. Nickelus F),2006-02-14 00:00:00,Room for Improvement,9,"37 ContributorsA Scorpio’s Mind Lyrics[Intro: Nickelus F]
Niggas in the city hating me man they tripping
When I'm the only one that's really spitting
My nigga Lil Lee the only one that's really gripping
Why you dap me up acting like like we cool if you don't feel him nigga?
Uh, I'm bringing back hip hop
Me and my nigga Drake
VA, Toronto, Hip-Hop

[Verse 1: Nickelus F]
Aiight let me take my jacket off
Unlace the Timbs, here again comes the jabberjaw
This time I'm blabbing on
These rappers that feel a certain way but they give me dap and all
Mad cuz the freestyle iller than they whole catalog
I got the gift like Santa Claus
Flow got spring like a catapult
Matter fact the flow Supreme like Diana Ross
I'm at the do' like a deer with the antlers off
Niggas acting like Scummy was they nigga
Wouldn't even give my man a 12 bar feature
I know who you are cause he wanted me to eat ya
I said nah lets keep it peaceful
My nigga was a true weed source
He gave it to us for a cheap cost, at prices we all could eat off
A real street dog
The type of nigga that y'all niggas be studying learning how to get street off
We have an impostor, alert the doctor
Bout to hit him up with the chopper like Blaka
Shock em like Blanka from Street Fighter, heat got a
Hurricane kick, murder everything quick
Look, my new Ryu nine is stupendous
Why do guys choose my crew to pick wit
My crew lie you guys into ditches
I said it and meant it the Scorpio's Mind has many dimensions
I'll say it in intent, sentence, indent, on instant pimpin
Hope your listenin' to my diction
If you are then you now should be itchin'
That it's crack we placed in your stereo system
Yeah, I be at your burial trippin'
Nickelus F from Richmond, VA
The Scorpio's Mind is not a game to play wit all day
You might also like[Verse 2: Drake]
I've been hated by many, wanted by plenty
Disliked by some, but confronted by none
Since they don't show me sincerity, I load up, lock up
Take shots at em I guess you could call it a parody
And compared to D
They one-fourth from watermelon to a quarter felon, dude you a pear to me
If that's not how it is it's how it appear to be
You got blind heaters, in my sweats is a mind reader
And when the psychic get to touching my palm
Seein' your physical, the things that you never say to me visible
Especially when one of your artists feeling threatened
Cause I'm harnessing a weapon, won't you pardon my reflection
Mirror, mirror tell me why they wanna get and scrimmage
And play around, to perfection I'm the spitting image
My verbal camp is vivid, I told you I'm spitting image
It seems we often want to start but never get to finish
My verbal campus is Villanova, and those of you feelin Hova
And writing college rhymes, look the thrill is over
Let me assist you like a specialist
So you can pull it back and try catch the metaphors and the rest of this
It's not a problem wit X, I guess I'm a pessimist
Which means if shit goes bad I say, ""I expected this""
And me and Julien we never got the chance to communicate
Instead of understanding its a tune of hate
The city's mine like Oklahoma's a Sooner state
And we're gonna have to cross paths whether soon or late
So, why don't you walk up in the spot using less strut
You ain't Morris Chestnut, you lighter and less cut
And lets be honest, by now you should be your own scholar
You still a protegé, that's the reason I don't holler
You got rappers being repetitive actors
You stay ahead of the game, I'm ahead of the practice boy5Embed"
Money by Drake,2006-02-14 00:00:00,(No Album),2,"4 ContributorsMoney Lyrics[Hook]
I take time to make that (Money)
Some breakdowns get caked back (Money)
Flip eight times, get eight stacks (Money)
You can not get jack for free
And my, proceeds and cash right (Money)
There's no need to stash right (Money)
Same four G's from last night (Money)
You cannot take that from me

[Verse 1]
Hey yo I'm movin' on up, excuse a moi, pardon it's me
There's a new chapter to life that I'm starting to see
And I'ma make and spend money to the hardest degree
And on the low I probably mimic every artist I see
I need a house, a wifey, a nice watch and a lot of cake
I can't lie, there's certain figures I gotta make
And for my family, this a shot that I gotta take
Cause where I live there's nobody as hot as Drake
Which basically means, who's faith in his team
Will resort to new cars, briefcases with cream
Tryna find a space in the jeans for placing the green
And a watch get they attention, the bracelet's clean
I'm stayin' the music, wifey kinda need to be a band lover
I keep it flow, an old school like your grandmother
I'm a tan brother, they use rubber bands to keep his money intact, if you don't like it you should ban rubber
You might also like[Hook]
I take time to make that (Money)
Some breakdowns get caked back (Money)
Flip eight times, get eight stacks (Money)
You can not get jack for free
And my, proceeds and cash right (Money)
There's no need to stash right (Money)
Same four G's from last night (Money)
You cannot take that from me

[Verse 2]
These days I really can't break 20s, hunnid and make money, money
Every month, the government will take money from me
Make 750, look how quicky I spent that, don't call me broke cause I strictly  resent that
Last my P had to flip my the rent, because the tax bracket I'm in's is 50 percent flat
All because of Ebay givin' me leway, basically do the PayPal, I need a raise now
Seems every time a nigga stop and he eat, I end up always tryna shop and compete
They know a nigga 'bout it when it's in his size and cops it in more colors than Popsicle Pete
Till I'm piled to the top with receipts, trust the store and I don't understand less is more
Wanna get 'em to the point where they owe me, and they gon' see Drake's on his JOB, it's like...

[Hook]
I take time to make that (Money)
Some breakdowns get caked back (Money)
Flip eight times, get eight stacks (Money)
You can not get jack for free
And my, proceeds and cash right
There's no need to stash right
Same four G's from last night
You cannot take that from me8Embed"
Money (Remix) by Drake (Ft. Nickelus F),2006-02-14 00:00:00,Room for Improvement,2,"21 ContributorsMoney (Remix) Lyrics[Produced by Frank Dukes]

[Intro: Drake]
Southern Smoke
It's Southern Smoke baby!
(Money) Frank Dukes
(Money) My man Nickelus F
(Money) Ho! It's Drake. Southern Smoke
(Money) This is the remix right here
(Money) So if you got some (Money)
Put ya hands in the air
(Money) Southern Smoke

[Verse 1: Drake]
Now-a-days you sayin' that I should go Jermaine, I should go Pharrell
Either or my nigga, make sure you don't get shelled
(Right) Make sure your money's right and they do a promotion well
So you could get checks cut like Benedict in Ocean's Twelve
This ain't Brad Pitt, I gotta admit
I'm sick of seeing chicks in that Louis V and that Plaid shit, cause it's a bad fit
They say my father lives through me, so this is just basically how my dad spit
I know my cash come quick when it's sunny
You know a girl is special if I stick with her honey
If it wasn't for dummies chick would still have money
And if it wasn't for money Nick would still have Skummy
So, guess it's kinda like a gift and a curse
To jip money is easier than liftin' a purse
If you pick the wrong mother who'll snatch you, run for cover
A week later you might find ya click in a hearse, boy!
You might also like[Chorus: Drake]
I, take time arrange that (Money)
Some, kill just to claim that (Money)
Switch countries exchange that (Money)
You cannot get jack for free
And my, proceeds and cash right (Money)
There's, no need to stash right (Money)
Got the same, four G's from last night (Money)
You cannot take that from me, homie

[Verse 2: Nickelus F]
Money’s the reason my best friend got murdered
So with that and my amounts tryin to make it just to burn it
Milk the game, turn it to butter, look how I turned it
No chick shall get any of dis unless she earns it
Take that dick, put to your lips and insert it
Where the hell is self-respect go when them checks show?
You sleep with them anywhere, hell is your bed for?
You always on your back, what the hell is your legs for?
I know, walk that strip, get my grip
That new Benz’s comin out, put some 'umph' in your switch, trick
Plus I need rims, diamonds and gems
So get up, do the hand job, and some head for him
I got my mind on my money, and my money on your mind (Money)
I’ll blow your mind all over the money that’s on your mind (Money)
So keep my dough off your head, fuck with do on your head (Money)
Now you really got money on your mind, nigga
[Chorus: Drake]
I, take time arrange that (Money)
Some, kill just to claim that (Money), yeah
Switch countries exchange that (Money), uh
You cannot get jack for free
And my, proceeds and cash right, uh
There's, no need to stash right, right
Got the same, four G's from last night, uh
You cannot take that from me, homie

[Outro: Drake]
Southern Smoke2Embed"
