title,release_date,album,lyrics,n-words
Blood Sport (Freestyle) by Kendrick Lamar,2005-06-01,Training Day,"26 ContributorsBlood Sport (Freestyle) Lyrics[Intro: Denzel Washington in Training Day]

[Intro]
This is a public service announcement
We call it Blood Sport
I had to do one too, I sorry
I'm a competitor
Oh my God, it's about to get hideous
I hope you niggas know your history

[Chorus]
Homie go ask Doc (talk about me)
Homie go ask Nas (and he'll tell ya)
Homie go ask Jay (young fella)
But when you ask them all (don't be jealous)
I'm the best in LA. In LA
Or wherever the fuck that you stay

[Verse 1: Kendrick Lamar]
It's all copastetic
Hip-hop no longer face Armageddon
Call me Bruce Willis
No call me lieutenant tinted windows on the black benz
So they only see it late nights like Jay Leno
I fuck twice your girlfriend probly told you we can't fuck
No, she lying
Oh my god I am the best rapper under 25 you can underline it
You abusing the game you defiant
Disobedient student need attention
Have parent conference I'll be there, Just let me know what classroom you in my son
I am Dwyane Wade of recording
You more like Kobe Bryant with no endorsements
That's like Shaq at the freethrow, pointless
I'm equivalent to a Earl Boykins, Spud Webb, Muggsy Bogues
I suppose I handle the rock well
I do hoes like Stockton and Malone: make my pick then roll
The ugly ones go to Sam Cassell
You washed up like Nick Van Exel
Shawn Kemp, Robert Parish, John Salley whole career on the bench
Let's get deeper in these NBA statistics
My team something like the retro Celtics
Which means consecutive championships
Which means I'm Larry Bird's equivalent
To the way I do a verse he handle the ball
The same way I handle it with no pen
I call Jay Rock when I wanna dish it off
He bang like Vince Carter when he first saw NBA Court
Alley oop the court let him do what he want
Bang. Aw fuck it let's talk more sports
How bout football?
I run the game like Walter Payton back 1984
I'm pass you niggas like Peyton Manning
Play the field like Ray Buchanan
When I kick it like Morton Anderson it gets scary
Weight on my shoulder, refrigerator Perry
Hip-hop cops on me, I dodge 'em like Barry
Sanders
John Madden hold your commentary
Keep the cameras on I'm primetime like the '95 Deion
Should I keep going?
Aw fuck it let me keep going
I'mma do it like the '97 T Owens
Not the ‘07 T Owens
T Owens with Jeff Garcia throwing the pigskin
Y'all need to work on y'all defense
I train like Warren Sapp on the weekend
Maneuver like Warrick Dunn
I'm just having a little fun have some with me
Let's go baseball now the '94 Ken Griffey
One man roster matter fact I'm the '96 Mike Piazza
MVP of LA, call the doctor
I came up with my assumptions I must be rap ESPN or something
It’s about time for halftime reporting
I’m a star kicking niggas off the field and court man
I know you good with the right but you still ain’t nice till you do it with the left hand
You ain’t nice till you play all positions
Or knock it out the stadium, hey wait a min
I got tickets to the all star game, to pro bowl game baby girl bring a friend
I’m a get you in, I’m a take you out, I’m a stick it in
You might say, ""ouch""
Just let me score one time
Dribble my balls to the floor one time
I’d be going for a week bet they gon’ miss me more than a pitch from Nolan Ryan
I am the Jeff Gordon of recording
I am Tony Hawk if I was skateboarding
I am Michael Irv before the coke snortin'
Aw fuck it I’m what’s ever important
After this you gon applaud him
If not, fuck it, I’m blood-sportin'
Homie, I’m blood sport
You might also like[Outro: Kendrick Lamar]
Ya’ll niggas ran out of time to get ya’ll shit together, man
I’m here
Hey, hey, hey, hey Moose what I gotta do, boy?2Embed",4
Get Throwed by Kendrick Lamar (Ft. Emjae),2005-06-01,Training Day,"17 ContributorsGet Throwed Lyrics[Skit]
You know I'm surgical with this bitch Jake
How you want it dawg?
Closed Casket?
Remember that fool in a wheelchair?
How you think he got there?

[Intro: Kendrick Lamar]
I got my air-conditioning on right now
Real cool about it
Oil talking please
Slick with it

[Verse 1: Kendrick Lamar]
Wanna know what death feel like
I suggest that you stay in the house at night
The scope that I got for the long rifle fit pretty damn right
Plus my connect got a pretty good price
I could take off your neck with just one slice of the blade
No, I'm not Wesley Snipes
One cut can have her screaming out first aid
Been this way ever since first grade
Forte demeanour was to get paid
Birthday solution was to shoot straight
Thirteen I was ready for gunplay
Stand on the block taking pay
I get four shots like a freak oh he know
Not to fuck with K-D-O-T
Oh, I forgot
Never come around here without a Glock
You want beef with your boy
Nigga I put heat on your boy
Leave him tied up on the back seat
With your boy duct taped won't let out noise
Oh yes we got them toys
Oh yes we got them choppas
LAPD they can't stop us
Rockets shoot down helicopters
In the kitchen (in the kitchen)
Betty Crocker (betty crocker)
Got kick (got kick)
You hate (you hate)
You wait (you wait)
One sec (one sec)
I'll be back we then gon' west
No vest, I'ma aim at your face
Unless you can stop them
I'm so throwed
Oh yes people there is a problem
I say
You might also like[Hook: Z-Ro (kendrick lamar)]
(Know what I'm talking bout?
I can feel that lane
Sometimes I just lay back and let them look at me
I'm so [?] too
You see they be loving the oil talk
Its real slick for them
I keep the air conditioning on
Cool, cool, cool)

[Verse 2: Emjae]
Pop shots yeah we kill niggas
On the real nigga
Run when I flex the steel
Coming with a [?] to grill niggas
Save on the ounce but don't know the price
But I know one time ain't bust late night
Trying to set me up so I gotta think twice
Ain't no fucking with it I'ma let em plague mic
I keep a nine for you dummies then I split your brain
I'm going to your safe, take your cash, cocaine
All your weed in your range cause you're going platinum chains
And when I leave I [?] your white carpet got a stain
Watch as my city get gritty
Fuck pity, we gon' do you niggas shitty
Domino effect when we spray them with the semi
Big k-holes in your dodge you can hear me
Front to back
Stack for stack
Nigga go clip for clip
Either gat for gat (braaap)
Wise niggas better check my stacks
We let the match ratatat
And all the heads we crack
Stacked, lots of cheese
Tryna cop the gs
[?] mac sale when we pop the fees
Cop the keys
To the boss got rocks to feed
Roster fees
Cause ain't nobody stopping me
I got a flow so cold
Style so bold
A nigga run up, I leave his face all swole
Hit him with the 8 better yet with the 4
And I don't feel bad he put himself in the hole
West coast in motion
Promoting another episode
Down south them niggas get [?] whilst we be getting [?]Embed",9
Imma G by Kendrick Lamar,2005-06-01,Training Day,"17 ContributorsImma G Lyrics[Verse 1]
This is for my mothafucking Compton babies
And all the wild blocks that drove us crazy
Dominguez Hospital born
Niggas dying fast no life insurance
Black ski mask green leaf body bag liquor poured
So much 40 oz poured it's like the curb's made of gold on the ave
Bullets got no names on it so if a girl get hit the response of it was like our bad

[Verse 2]
That's the mind of state, rap niggas meet your fate
Say hello to the hip hop's Norman Bates
I ain't even burn 'em yet
Dave Chapelle these niggas are half baked
Well done when the second first come
I have an acquired taste
I will not let not one MC go to waste
I will eat all day
I will not, cannot lose, comfortable at the top
I'm sittin' down my legs  are crossed like i had (?) shoes

[Verse 3]
I tell dude, i ain't worried about these rap dudes
They're not in my league, the West coast is me
I'm, sub-zero, I put your career on freeze
I put it on Hov like I had (Calvin Jeans)?
I'm nightmare on Elm Street, come right through your dreams and
Delete you like an unwanted movie scene
Say hello to the team, ain't ya?
You're scared ain't ya?
The world is anxious for my LP
Get pop grades, i get an A-plus, you get a D
Fucking failure!You might also like2Embed",3
J. Dilla (Freestyle) by Kendrick Lamar (Ft. Jay Rock & Punch),2005-06-01,Training Day,"17 ContributorsJ. Dilla (Freestyle) Lyrics[Verse 1: Punch]
I'm still lost in my own zone in the living room
Like I'm dead to the world playing Donny Hathaway
Patron shots I consume taking the pain away
Each sip bring me closer to my doom
Sun shining bright through the crack in the blind
Thinking to myself this morning what happened to time
It's passing away, the world decides, it ain't what it used to be
Everything I love don't mean what it used to mean
For example spitting a 16
No thrills, feeling numb like i'm of Thorazine
It used to be nicotine, I was addicted to this rap thing
Now I'm just trying to trap cream
Enough drowning in my sorrow, never put off tomorrow
What you can do today, that's my new motto
With that said, I roll out the bed
Hit the showers, it's time to get this bread, now make dollars

[Verse 2: Kendrick Lamar]
I woke up in the morning, washed my body, put some clothes on it
After that, put on my heat like Alonzo Mourning
Cause everybody got a gun, it's like they're copy cats
So me without one is like I'm dated
I'd be out of style like Adidas and fat laces
Starter Jackets and dookie ropes or whatever the late 80's had favored
I'm one of the best of my Homo Sapiens
One of the best of God's creations
He shows favoritism everytime you hear the record on radio stations
I know you mad, you ain't gotta say much, I can feel you hating
Serving mc's like waitress, Andre Agassi, multitalented
Rapper slash athlete, killing these niggas, they're screaming in agony
Half of these niggas ain't half of me
Half of these niggas ain't talking 'bout nothing, yakity, yakity
Pushing my buttons like plaid shirts, clapping them rapidly
Actually, Kurt, Co-Bain
Ten years in my career, pray to God that I don't blow up my brains Lord, I'm here
Great Depression, I don't know much, all I know is studio sessions, and how to get my bars up
They call me Subway sandwich the way i give them cold cuts
Cut from a different cloth, and these Yves Saint Laurent jeans;
They cost so much
(?) Usher
Either way i'm caught up in materialistic
Anything that's custom, best believe I'mma get it
Getting tired of it and get rid of it, don't step on the Compton premises without your weap-on on your hip
The home of the stray bullet that murder the innocent
No matter the crime rate I still remain content
Moving at my own pace, cause if it don't make dollars
Then it really don't make sense, and if you can't comprehend
I holler like a rottweiler behind a backyard fence
(Holla) - x4
You might also like[Verse 3: Jay Rock]
I woke up this morning, counting my cash
Girls calling me now, straight throwing the ass
I threw on my T, I grabbed my bitch
Laced up my chucks, rock sharp as a piece
They used to call me a creature, but now I'm a beast
With my voice on the beat, I'm the voice of the streets
From my head to the feet, I'm bad to the bone
Nigga, I won't stop, 'till I'm add to the throne
Dog, I ride with the chrome, gotta be safe in this shit
Call me Pharrell, boy, I keep me them Clipse
I don't ride on no skateboard, I roll with some grinders
Trapped in the hood, far from Giligans Island
I was a drug dealer, but now I'm a wild spitter
Nigga, I'm more iller, call me a hospital
You got the hiccups, I got this fluent as shit nigga
I spit a bar, straight ruin your shit nigga
Known as a mack, I can influence your bitch
I'm the reason these niggas be handcuffin' them quick
I'm the reason these bitch niggas be playa hating on us
See them in the streets, these niggas don't be saying nothing
But keep on talking, you ain't ready for beef
Jay Rock down to bust a nigga head in the streets
I can't help it, the hood flow through my blood
This gangbangin shit, should be considered a drug
Everybody doing it now, I see you rap niggas
Wrong place, wrong time, that's how you get clapped nigga
Raised in the projects, money my object
They standing in my way, like a frog I dissect them
You'll get shot walking through my section
Now you a verse all in my session, they say life is a school
Everyday is a lesson, well I get kicked out, shit got me guessing
Shit naw, check my ghetto report card, straight A student in every class up in the Gardens
Money over bitches, nigga i'm heartless
Money over bitch niggas, rich is my target
(target) - x4Embed",15
Dreams by Kendrick Lamar (Ft. Punch),2005-06-01,Training Day,"89 ContributorsDreams Lyrics[Spoken Intro: Kendrick Lamar]
Nah, what you get outta, outta not writing your stuff down on paper, you get the more-you know the...expression, the feeling yourself. You know what you want to say; instead of reading a paper that sounds read, it sounds narrated. Unless you wanna do it narrated...

[Chorus: Kendrick Lamar]
What if a dream was reality and reality was a dream?
And as complicated as it seems, if things we imagined actually happened?
And real life situations was artificial
They say we only living to die
Imagine if we're already dead, waiting to live, living in hell
Trying to cross over to heaven we're confusing ourselves
Planet earth's like Oceans 11, we're plottin' for the getaway

[Verse 1: Kendrick Lamar]
When my childhood friends get sent away to prison on their first offense
It's fucked up but listen, we study God but don't know him
Criticize people that work on Sundays, two jobs just to feed their kids
Well, momma's scratching lottery tickets knowing that it's just a fairy tale
Cus' we ain't gonna win
Every time that she's bubblin' in, it feels like the devil's holding a pen
(shit)
Don't mind me I'm just thinking again
Thinking out loud, thinking the opposite of proud
Cus' I'm disappointed at my self sometimes
Self-esteem gets lower than night strippers
Hard to motivate the right rhymes, inspired by true crimes
It's not a game, it's nothing to play with
Turn it off then come back the next day, it's here to stay
Struggle that is
I'm so infatuated with knowing something that's waiting after this life
That means what I'm thinking is right
Punch, loop the beat for a minute
Moment of silence for J. Dilla, he on his way home
Know he see me spillin' my heart, hope for it soon
Wait a minute K. Dot! you said turn it back on, bring it back
If dreams was reality
If it was cool for you to be a casualty
The only way that you can escape poverty
Say that I'm weird but obviously you didn't get it when I said it the first time
You're listening too far if you hear this part
I suggest you go back and press rewind
I fast forward to common thoughts of a human
Deep in my thoughts like Patrick Ewing in the paint
Look what I brought to my state that they can't bring - the industry need a fix
Stick heroin needles inside politics, this is crack music
O-pi-um, inside the veins of them, I don't abuse it
Capture each moment like film, photo-shooting all my enemies moving
Direct them to a casket
Give it to 'em only if they ask for it, if they want...
If they wanna see reality [haha]
I'm losing you again ain't I?
Ain't I, the perfect candidate to represent the fifty states?
Black President, they don't wanna see that
It's evident...pain is pain
We only love to hate each other that's striving for great-ness
I swear to God that we live in a Matrix
Take that blue pill then we start seeing spaceships
Kanye, west-coast niggas do it the best
Bring each other down, crab in a bucket effect
We learn to live with it I guess
I mean die with it, since we're already dead
Trying to cross over to heaven, that's what I said the first time
Get it? Now little boy I gotta sit you down
Teach you about the things that we live around
Materialistic things that we buyin' now means nothing later when the dream kick in
Fade me out, fade me out, fade me out, fade me out, fade me out, fade me out, fade me out, fade me out...
You might also like[Verse 2: Punch]
What if dreams was reality and money was love
What would we do for a buzz to maintain our sanity
Chasing the wind, striving after this vanity
Traveling, no direction, the aimless casualty
American dream or Scarface fantasy
Kilos of coke and the arms of black families
We use to it, our hearts draped in stone
A mother's dreams for her baby boy to come back home
Cus' he out pushin' that chrome, pursuing that cash
End another niggas dreams when the fo-fifth blast
Now another mother screams picking out his casket
Harsh reality, it seems like it's simple mathematics, it's not
It's trigonometry (trigganometry) divided by some real life
And he'll do it again just to get a mill' twice
The streets mowed him, can't make past that
It's not a dream it's reality, look where it's at [ugh]
What happened in Manhattan happens all the time
In the hood, conspiracy to cover up crime
No nickel and dime, one shot pettiness
I wrote it in my mind as a letter to the president
World trade happened on the world stage
Same stage look at us as some educated apes
On video stations women gyrating
Parading around, mind-raping the youth
Fade me out, fade me out, fade me out, fade me out, fade me out, fade me out, fade me out, fade me out...
[Chorus: Kendrick Lamar]
What if a dream was reality and reality was a dream?
And as complicated as it seems, if things we imagined actually happened?
And real life situations was artificial
They say we only living to, die
Imagine if we're already dead, waiting to live, living in hell
Trying to cross over to heaven we're confusing ourselves
Planet earth's like Oceans 11, we're plottin' for the getaway

[Outro: Denzel Washington]
I'm the man up in this piece! You'll never see the light of da..
Who the fuck d'ya think you fuckin' with? I'm the police!
I run shit here, you just live here!11Embed",2
Hpnotiq by Kendrick Lamar,2005-06-01,Training Day,"14 ContributorsHpnotiq Lyrics[Intro]

10,9,8
7,6,5
4,3,2
1

[Verse 1: Kendrick Lamar]
I kick a funky friendly conversation that keep they mind racin'
You can't complain about the flow I got
I let my thoughts space out with the astronauts
Like the white boys say, ""Pass the pot""

Let me smoke for a minute...

As god as my witness, I never abuse this hip hop
I'll never pretend to be something I'm not
Giving you something to rock to other than hardcore rap, possible
You ever been under hypnosis I mean literally
Not being focused with your eyes open
They say 90% of humans don't even notice
Now can you imagine a couple of minutes passing without you knowing what happened
Without you knowing people was laughing at you
They say the worse scenario is when they have to catch you
You wake up out of your mind, your whole thoughts is baffled
You're doing things like trying to touch your shadow
Now here's some realistic, is it something that can happen or is it just a gimmick
You never know until your bear witness
Bear witness...
Bear witness...
You might also like[Verse 2: Kendrick Lamar]
You woke up in the morning, took a shower
Call some bitches over, want them to be over in one hour
She came over, you fucked
She left and you hopped in the truck, you
Took your shirt off cause outside was burning up, you
Skirted off turned your beat up but your gun was tucked
Under the seat, you headed to Long Beach
Hop on the 710 the carpool lane
Only cause you got black tint and they can't see a thing
Your check engine light popped up, its feeling like bad luck or what not
You tried to maneuver all the way to the call box
But one lane before you got there your car stopped

Stop

If your was listening for the past two minutes
Then you just made accurate 90% hypnosis8Embed",0
Imagine by Kendrick Lamar (Ft. Jay Rock & Punch),2005-06-01,Training Day,"47 ContributorsImagine Lyrics[Verse 1: K. Dot]
I sit on the studio couch
Ask myself, ""what the fuck am I thinking about?""
Thinking 'bout living without the past and the present
A Dr. Dre record, imagine, I drift off, 600 seconds
10 minutes exact, letting my mind explore
K. Dot had turned Curious George
You know, off the hardship is what I'm curious for
Like what if Pac had never looked left to holla at broads?
Before he turned right to get them shots through the door?
They say Suge did it, but he was in emergency clinic
So he'd risk his own life to get someone else killed
But in the process, get injured, it don't make sense
It's like the Da Vinci Code, trying to solve the crime of these rap souls
What if B.I.G. never did it big?
Never went to L.A., would it make a difference in them bullet-holes?
Would it make my flow more persistent?
Would it raise up the bar of competition? Who knows
Who told Nastradamus baby momma was fucking with HOV?
Would the battle be less interesting if it wasn't personal?
If Jay wasn't intimate, there'd probably be less people listening
People thinking it's a publicity stunt
What if he partnered with Jay and still didn't blow?
Hip-hop would really be fucked
Something like Milli Vanilli
Nothing different, quite similar
Filling up my mind capacity
Thinking about Martin Luther, on the balcony
What if the shooter-
Better yet, what if Malcolm on the side?
Killed two birds with one stone, both would've died
Now let's rewind
You might also like[Chorus: D'Angelo]
Before we go, can you imagine?
Picture years with your mom
Can you imagine?
Hang her picture in the sky
Can you imagine?
Call emergency, I've been dreamin' all my life

[Verse 2: Jay Rock]
Imagine if Tookie was a Blood? Look, no disrespect
But would there be more Bloods than Crips sets?
Dominating the population of
L.A., Orange County, the Valley, and back up to the bay?
Matter fact, imagine if we didn't really start this gangster shit
Y'all wouldn't have nothin' to spit
No drive-bys, no flags stickin' out pockets
No N.W.A. dudes, just rappin' like Cre Cru
Imagine if Mike Concepcion walked on his own two
Feet no paralyzed, would he be alive?
Or would he been lost his life to the streets?
No match, no cars in that driveway
What if Freeway Rick never was a kingpin?
On this L.A. strip, would these rap niggas use his name?
Nah, what if rap niggas never had rap?
Would they try to fall back on this drug game?
These rappers ass backwards
Now these rappers getting caught with the cocaine
But to smoke, not to slang
Imagine that people not knowing these rap niggas insane
Just think about it
[Chorus: D'Angelo]
Before we go, can you imagine?
Picture years with your mom
Can you imagine?
Hang her picture in the sky
Can you imagine?
Call emergency, I've been dreamin' all my life

[Verse 3: Punch]
Imagine life without death, would you even feel alive?
Your people that passed, what if they never died?
Imagine seeing your mom cry, tears of happiness
Knowing her son safe, and she ain't lose him to this madness
The street living, what if the crack epidemic
Never reached the projects and destroyed our buildings?
Turned most of us to killers, innocent victims
Imagine if heroin didn't affect our system
They say drug money funding the labels today
What about the drug money that's funding the C.I.A.?
Imagine if they really tried to fix these streets
Would they start in the hood, or executive suites?
Where the real criminals meet, and principals beef with me
You could possibly live without heat
Imagine if Al Gore had won that election
Would the Twin Tower buildings still stand erected?
Imagine the penal system without witness protection
Would there be these many cowards on the stand telling?
I don't know, I'm just speaking my mind
Lost in my own soul, Just press rewind and imagine
(Training day, training day)3Embed",3
The Best Rapper Alive by Kendrick Lamar,2005-06-01,Training Day,"38 ContributorsThe Best Rapper Alive Lyrics[Intro]
Yea that's right you better walk away
Go on and walk away cause I'mma burn this motherfucker down
King Kong ain't got shit on me

[Verse]
Running them ghetto streets, I ain't cooking up nothing
But I got the tea kettle on side of me, that metal on side of me
I dare you to follow me, I'm double daring you to follow me where the drama be
His momma in debt, so she can't pay the funeral fee
So wherever them candles at, that's where the funeral be
Kids don't get sleep, guns keep 'em up real late
Walk in the school, shells laying on the concrete
Take 'em to school, show and tell, for that final grade
She gave him a 'F', I say that young boy deserve a 'A'
Cause she never slept where he slept, or seen ricochet bullets rip
Through his cousin's face, ripping his face off
I aim the fifth straight, concentrate like I'm playing golf
I'm Tiger Woods with a gun in my car, I keep one in my car
And keep a bitch with implants, so she keep one in her bra, boom
Shit, make room for the lil bastard
The flyest nigga you seen on centennial campus
The eight ball tucked in my jeans while I'm getting patted down
They didn't know I had it on me, stupid security
No one securing you, if I'm gon' touch you
If I don't like you, the Mossberg pump love you
I take that back, it probably just wanna go and fuck you
Go with you, then dump you inside the coneal confortable
Defending my belt, depending on nobody but myself
Unless you talking 'bout money, I need yo help
I need some help, they say that my screws is loose
Like handlebars on mongoose, this is true
You tough rappers, I'm talking to you
He ain't on no used to shit, but you see his face grew
He say that he fabulous, but really don't have a clue
That he just a puppy living in this zoo
Shit, whoo, with that said, you should know I am the truth
The truth hurts, you should feel pain when I'm done with this verse
I'm done.... psyche, I ain't finished
Ever since the first grade, been bad with the run-on sentence
I never sat the benches in the game of life
I played the whole forty-eight minutes, Christ
I rap with precision and lyrics, is grandma nice
I'm cooking up something, you want you a slice? Then get it
I'm holding my stomach, I'm shitting, I'm farting
On any rapper thinking I'm in his vision, is you retarded?
The CL got my head spinning awkward
Bought it last month, 'bout to put it up for auction
I'm not rapping, I'm talking powerful
And for that dirty money, boy, the Mac'll shower you
The Mac disintegrate, and then devour you
The mag'll forget you, regurgitate and sour you
I world trade you niggas, north and south tower you
Steroid, my authority overpower you, the industry ain't affording me
They might as well just give me my money and start ignoring me
Cause y'all niggas boring me, y'all ain't making no dollars plus no cents
I swear, y'all niggas foreign to me, foreigners
I tell you what, go and tell it to the coroner
Killing 'em whenever my performance come
When I do it, it won't be nothing right after I'm done
When I ruin niggas' careers, put you niggas in tears
Get you pom poms, you better off, cheer for me
Shit, the new money is here for meYou might also like2Embed",6
Blame God by Kendrick Lamar,2005-06-01,Training Day,"32 ContributorsBlame God Lyrics[Intro: Kendrick Lamar]
Been ready
Jay, I been ready
HOV, I been ready
They say patience

[Verse 1: Kendrick]
Everybody wanna know why my game plan so strong
Cuz' I ain't gotta think with a light bulb on
Nigga I eat, sleep, and shit rap; I never relax, been a busybody since I was born
""Is he really fucking with Sean?""
I reply, ""His pick, I would take a tool on.""
Dolce brown nigga, I'm right now, you ain't gotta wait later
Where the CD at? Put it in the disc player
Tell ho ride to it, I do it like none other
K-Dot, definition of a young motherfucker with a problem
""Future of the West Coast"" I am
And that's real tough
Southern California, Angels, AKA LA Sharks
Make comparisons when I seen him duck
Man you think ""What was to Pac and Big, before?""
And that was before
I picked up a pen, and when I did, my thumb and my index sore
And then I started writing with it
Found that it flows better, like a Venice Beach sea shore
He don't wear the same clothes as ya'll
He is cut from a different cloth
Ya boy is cool, but I'm a different frost
Like igloo, every time I come off
Every time I take off
Pandemonium when I take off
They hanging on the wing of that G4
30,000 feet and still won't fall
Why you do that for?
Why you had to sell out that store
You made my record sales come up short
My reply is that it ain't my fault
Blame God
You might also like[Chorus: Kendrick]
I can't wait when its my time (I'm coming)
No I take that back, cuz' I got time (I'm coming)
I know that patience is virtue
But that being said, you got time before I hurt you
No lie (No lie)
I can't wait when its my time (My time)
No I take that back, cuz' I got time (Got Time)
I know that patience is virtue
But that being said, you got time before I hurt you
No lie (No lie)

[Verse 2: Kendrick]
When the lights get dark
And every body quiet, know its my part
I might start a riot
The main event
Bulletproof under that black tent, you can't shoot through shit
I never played the bench
Star Point Guard
Never pass up money, I'm a ball hog
Touch anything I get my hands on, into pushin' like Ray Charles
I never had no flaws
""Ooos"" and ""Ahhs"" after every bar
Take your bitch, then give her back
For no reason for, just because, ya'll actin hard
I'm bein myself
And I got some plastic under my belt, so rest assured
You don't want your moms thinkin' bout pullin' that hospital cord
Went from a Honda Accord, to a Bentley Azure
Back seat got a flock of broads
And I ain't gotta say to kiss it, just like ""Sure""
Momma gon' clean or fix it
Use Terrific, Easter Brum????????
All it need is a little season on
Who said a veteran can't be so young?
I sound better than half ya'll on
Damn K. Dot, let me see your arm
I ain't gotta do a show, my jewels perform
I ain't gotta do a show, my jewels perform
Princess cut looks stupid dumb
Eyes close shut, all I see is dollar signs
And I won't get enough till I'm layed in the grave or hand cuffed up bout one time
No Lie
Blame God
[Chorus: Kendrick]
I can't wait when its my time (I'm coming)
No I take that back, cuz' I got time (I'm coming)
I know that patience is virtue
But that being said, you got time before I hurt you
No lie (No lie)
I can't wait when its my time (My time)
No I take that back, cuz' I got time (Got Time)
I know that patience is virtue
But that being said, you got time before I hurt you
No lie (No lie)8Embed",2
Prototype by Kendrick Lamar (Ft. Punch),2005-06-01,Training Day,"20 ContributorsPrototype Lyrics[Hook: Kendrick Lamar]
They say that I'm the one
And you, you are the prototype
You might have the ears of sound
But you already know who they like
You niggas need hugs for real
Somebody to hold you real tight
You niggas need hugs for real
Somebody tell 'em he's the prototype

[Verse 1: Kendrick Lamar]
I am the truth, no lie about it
Bring my testimony when I walk in that booth
Walking the thin line between love and hate, I defend mines
Join them when it comes to their crunch time, I never fold
I love pressure, that's why I apply so much on niggas thinking they better
I am a clutch shooter, I am a sharp shooter
And it's great enough to hear the butterfly moving
Follow me moving through these ghetto streets and school I say fuck a tardy sweep
Walk into school the chief right there tried to talk at me
In the midst of Piru and natty Blood beef
Shall we hesitate to walk down Palmer [?]
That 10-grade summer we had death right in front of us
Then leave the house without kissing our mamas
The new Jordans came out, but we didn't get them
The color haunt them to get too much attention
Damn it I liked it thoughs
Pac was talking 'bout the concrete rose
I never seen one till I looked in the mirror
There go, hehe, that's the flow right there
You should use it, that's what my conscience said then I hopefully abused it, huh
I am the lyrics and the music, y'all rapping note for the beat
I let the instrumentals listen to me
I listen for heat, my ears can hear fire
I pierce through the flame like barbed wire breaking up concrete
And I ain't thinking 'bout no rap beef
Niggas is getting killed throughout the week, that's every day
Catchin' bullets like an umpire
We tried to stay home but still ain't safe
That's baseball tactics, retaliation back and forth like tennis rackets, we used to it
Who can circle 'round the block the fasters
If you can do it, think you know why it becomes a practice
We worked it out like barely total
Cuz shit happens
You might also like[Hook: Kendrick Lamar]
You niggas need hugs for real
Somebody to hold you real tight
You niggas need hugs for real
Somebody tell 'em he's the prototype

[Verse 2: Punch]
I ain't even gotta rap but let them young boys get ya
Paint a perfect picture like I'm rhyming only scripture
I'm nice, ice water veins, it's pure no filter
Who you get your style from, it seem real familiar like I heard it before
But reincarnation is a blind man's theory
So I ain't going for it, na uh
I ain't having it, you getting to board it
Like an unfair mother, my child you gon suffer
'til you acknowledge to whom gave you life through knowledge
It's higher learning, I'm taking dudes through college
The prototype for the flows you like
I'm surgical on the mic, I cut you up somethin' nice
Get out the pocket, I'm sending them skyrockets right through your minds
Optic popping out your eye sockets, ah
Excites a riot every time I'm rhyming
In accordance with the snare I got impeccable time, Junior

[Hook: Kendrick Lamar]
They say that I'm the one
And you, you are the prototype
You might have the ears of sound
But you already know who they like
You niggas need hugs for real
Somebody to hold you real tight
You niggas need hugs for real
Somebody tell 'em he's the prototype2Embed",8
